variant,soc_enabled,soc_threshold,soc_neighbor_coupling,soc_align_relax,speed_ratio,seed,safe_frac,captured_frac,chi,chi_local,tau_P_ar1,xi_fluct,soc_topple_steps,soc_topple_events_total,soc_topple_size_mean,soc_branch_ratio
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,7,0.296875,0.1953125,0.7181837407832753,7.177983262645513,198.99999999999983,7.5,596.0,4178.0,7.010067114093959,1.0638289888833636
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,8,0.2109375,0.2265625,1.0327198774447996,4.355833034459562,198.99999999999983,22.5,587.0,4427.0,7.541737649063032,1.049226407023404
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,10,0.265625,0.2109375,1.4956134215816042,1.3480021776989812,198.99999999999983,12.5,594.0,3841.0,6.466329966329966,1.0724308954940833
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,11,0.2890625,0.234375,0.40977535814046206,7.585824299627108,198.99999999999983,7.5,593.0,3570.0,6.020236087689713,1.05542746011496
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,14,0.328125,0.2890625,2.0115453447922347,1.9090173140602567,198.99999999999983,7.5,579.0,3079.0,5.317789291882556,1.0748525071621957
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,12,0.328125,0.203125,0.6398363838363517,1.080799155786089,198.99999999999983,12.5,591.0,4556.0,7.708967851099831,1.0438318718867206
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,13,0.3046875,0.21875,2.8071528971494466,4.761244705944368,198.99999999999983,12.5,594.0,4215.0,7.095959595959596,1.0541247587845146
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,15,0.375,0.2578125,1.2641867186250944,10.151145314934508,198.99999999999983,27.5,598.0,3763.0,6.292642140468227,1.0595977600429036
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,16,0.3515625,0.2109375,0.6813255382069062,1.8259843604937431,198.99999999999983,12.5,598.0,3679.0,6.1521739130434785,1.059220171792904
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,17,0.3125,0.1953125,0.6992035319098332,3.7066221949752673,162.5988086368075,12.5,582.0,3252.0,5.587628865979381,1.0901756308428774
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,20,0.3359375,0.234375,0.7824521659193447,2.7115359658840563,198.99999999999983,12.5,575.0,3382.0,5.881739130434783,1.0735087543744544
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,19,0.375,0.1875,0.23022780665369982,6.937773776744519,198.99999999999983,7.5,577.0,3161.0,5.478336221837089,1.074949834428235
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,18,0.3203125,0.1328125,0.5732663197303296,0.026007048213876057,198.99999999999983,7.5,568.0,3385.0,5.959507042253521,1.1048057448615625
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,22,0.3671875,0.2421875,0.15790493825021454,0.06958923478619508,198.99999999999983,12.5,582.0,3167.0,5.441580756013746,1.0707381927691737
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,21,0.3359375,0.1328125,0.2647679732161857,1.921957726641522,198.99999999999983,12.5,540.0,2515.0,4.657407407407407,1.0846425992066067
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,23,0.2734375,0.21875,3.2103038811252254,2.505001593692322,198.99999999999983,22.5,569.0,3009.0,5.288224956063269,1.09813690621608
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,25,0.265625,0.2265625,1.8484939115269228,4.373386181718886,198.99999999999983,17.5,595.0,4493.0,7.5512605042016805,1.0524209556823523
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,24,0.296875,0.109375,2.6469062278869817,6.223183184171089,198.99999999999983,7.5,578.0,3929.0,6.79757785467128,1.0846723722878269
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,27,0.3984375,0.15625,1.779454576440259,2.0589854050197305,198.99999999999983,27.5,554.0,4291.0,7.745487364620939,1.0577949337742254
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,26,0.328125,0.21875,0.8039330657411817,5.677652684527564,124.32300751073183,22.5,581.0,3535.0,6.0843373493975905,1.0867504881480807
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,29,0.375,0.21875,0.3620323282194477,2.3017081725613897,126.42698876957857,12.5,592.0,3102.0,5.239864864864865,1.082847820538176
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,28,0.3515625,0.21875,0.603913490796907,9.054105437506225,198.99999999999983,7.5,592.0,4086.0,6.902027027027027,1.058293941611232
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,0,0.3515625,0.0,0.3729147171320928,3.3794500529202285,198.99999999999983,7.5,577.0,2322.0,4.024263431542461,1.1085656145551979
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,2,0.3828125,0.0078125,0.6492912248270023,3.7949047859100107,198.99999999999983,0.0,506.0,1277.0,2.5237154150197627,1.1145238095238095
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,3,0.4140625,0.0,0.2911175903140346,0.5812606330172263,198.99999999999983,7.5,566.0,2037.0,3.5989399293286217,1.0984173594350586
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,4,0.3828125,0.015625,0.3195232501209042,1.733637713003734,116.12974117884983,12.5,533.0,1555.0,2.917448405253283,1.1255072204320327
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,1,0.3203125,0.0,0.5893066690048372,8.192695505790804,198.99999999999983,17.5,579.0,2160.0,3.7305699481865284,1.1161104898561647
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,7,0.4140625,0.0078125,0.46261410796839764,4.221665493384841,198.99999999999983,7.5,537.0,1742.0,3.243947858472998,1.1329223740604337
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,5,0.3515625,0.0078125,0.6589898844994988,3.478808415374905,198.99999999999983,12.5,576.0,2233.0,3.876736111111111,1.1226532166327563
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,6,0.3359375,0.015625,0.17254303913851404,1.1659894642549373,198.99999999999983,17.5,552.0,1946.0,3.5253623188405796,1.113309462265905
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,9,0.4296875,0.0078125,0.16423637822231335,5.599576775727616,198.99999999999983,12.5,540.0,1576.0,2.9185185185185185,1.1205890069526432
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,8,0.359375,0.0,0.20523131079241066,6.955820893395778,198.99999999999983,7.5,579.0,1923.0,3.321243523316062,1.1202617499762826
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,10,0.375,0.0,0.6767893930563967,2.6336223394338347,198.99999999999983,12.5,585.0,2199.0,3.758974358974359,1.1179236098756646
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,11,0.3828125,0.0,0.28075434784323233,4.778332899367277,198.99999999999983,12.5,561.0,1770.0,3.1550802139037435,1.1375701530612246
