variant,speed_ratio,seed,safe_frac,captured_frac,soc_branch_ratio,soc_pred_entropy_var
baseline,1.4,54,0.3359375,0.421875,0.0,0.0
baseline,1.4,55,0.2578125,0.390625,0.0,0.0
baseline,1.4,57,0.328125,0.3984375,0.0,0.0
baseline,1.4,56,0.328125,0.359375,0.0,0.0
baseline,1.4,58,0.28125,0.4296875,0.0,0.0
baseline,1.4,59,0.28125,0.3984375,0.0,0.0
baseline,1.4,60,0.328125,0.4140625,0.0,0.0
baseline,1.4,61,0.2890625,0.4375,0.0,0.0
baseline,1.4,62,0.2421875,0.3828125,0.0,0.0
baseline,1.4,63,0.3359375,0.375,0.0,0.0
baseline,1.4,64,0.21875,0.3828125,0.0,0.0
baseline,1.4,65,0.3046875,0.296875,0.0,0.0
baseline,1.4,66,0.2265625,0.4453125,0.0,0.0
baseline,1.4,67,0.28125,0.40625,0.0,0.0
baseline,1.4,68,0.2109375,0.4609375,0.0,0.0
baseline,1.4,69,0.2890625,0.3984375,0.0,0.0
baseline,1.4,70,0.265625,0.34375,0.0,0.0
baseline,1.4,71,0.328125,0.3984375,0.0,0.0
baseline,1.4,72,0.3046875,0.3515625,0.0,0.0
baseline,1.4,75,0.3515625,0.3984375,0.0,0.0
baseline,1.4,73,0.2421875,0.390625,0.0,0.0
baseline,1.4,74,0.3515625,0.34375,0.0,0.0
baseline,1.4,76,0.28125,0.4296875,0.0,0.0
baseline,1.4,77,0.3515625,0.3828125,0.0,0.0
baseline,1.4,78,0.359375,0.3984375,0.0,0.0
baseline,1.4,79,0.3125,0.390625,0.0,0.0
baseline,1.0,81,0.390625,0.0,0.0,0.0
baseline,1.0,80,0.34375,0.0078125,0.0,0.0
baseline,1.0,83,0.390625,0.015625,0.0,0.0
baseline,1.0,82,0.3671875,0.0,0.0,0.0
baseline,1.0,84,0.3984375,0.0,0.0,0.0
baseline,1.0,85,0.3671875,0.0,0.0,0.0
baseline,1.0,86,0.3828125,0.0,0.0,0.0
baseline,1.0,87,0.34375,0.0,0.0,0.0
baseline,1.0,88,0.5234375,0.0078125,0.0,0.0
baseline,1.0,89,0.53125,0.0,0.0,0.0
baseline,1.0,91,0.3515625,0.0,0.0,0.0
baseline,1.0,90,0.390625,0.0,0.0,0.0
baseline,1.0,92,0.390625,0.0,0.0,0.0
baseline,1.0,93,0.359375,0.0078125,0.0,0.0
baseline,1.0,95,0.4140625,0.0,0.0,0.0
baseline,1.0,94,0.4375,0.0,0.0,0.0
baseline,1.0,96,0.5,0.0,0.0,0.0
baseline,1.0,97,0.421875,0.0078125,0.0,0.0
baseline,1.0,98,0.3125,0.015625,0.0,0.0
baseline,1.0,100,0.4921875,0.0,0.0,0.0
baseline,1.0,99,0.2734375,0.0078125,0.0,0.0
baseline,1.0,101,0.4296875,0.0,0.0,0.0
baseline,1.0,103,0.328125,0.0078125,0.0,0.0
baseline,1.0,102,0.390625,0.0,0.0,0.0
baseline,1.0,104,0.3125,0.0078125,0.0,0.0
baseline,1.0,105,0.34375,0.015625,0.0,0.0
baseline,1.0,106,0.3984375,0.0,0.0,0.0
baseline,1.0,107,0.3984375,0.0,0.0,0.0
baseline,1.0,108,0.390625,0.0,0.0,0.0
baseline,1.0,109,0.3984375,0.0078125,0.0,0.0
baseline,1.0,111,0.375,0.0,0.0,0.0
baseline,1.0,110,0.4140625,0.0,0.0,0.0
baseline,1.0,112,0.2421875,0.0078125,0.0,0.0
baseline,1.0,113,0.390625,0.0,0.0,0.0
baseline,1.0,116,0.3515625,0.0078125,0.0,0.0
baseline,1.0,115,0.2734375,0.0078125,0.0,0.0
baseline,1.0,114,0.375,0.0,0.0,0.0
baseline,1.0,119,0.40625,0.0,0.0,0.0
baseline,1.0,117,0.2890625,0.0078125,0.0,0.0
baseline,1.0,118,0.4609375,0.0,0.0,0.0
baseline,1.0,120,0.3046875,0.0,0.0,0.0
baseline,1.0,121,0.3984375,0.0,0.0,0.0
baseline,1.0,123,0.3828125,0.0,0.0,0.0
baseline,1.0,122,0.25,0.0,0.0,0.0
baseline,1.0,124,0.453125,0.0,0.0,0.0
baseline,1.0,126,0.390625,0.0078125,0.0,0.0
baseline,1.0,125,0.28125,0.0,0.0,0.0
baseline,1.0,127,0.265625,0.0,0.0,0.0
baseline,1.0,128,0.375,0.0,0.0,0.0
baseline,1.0,129,0.4453125,0.0,0.0,0.0
baseline,1.0,131,0.4453125,0.0,0.0,0.0
baseline,1.0,130,0.390625,0.0078125,0.0,0.0
baseline,1.0,132,0.3984375,0.0,0.0,0.0
baseline,1.0,134,0.4921875,0.0,0.0,0.0
baseline,1.0,135,0.359375,0.0,0.0,0.0
baseline,1.0,133,0.3046875,0.0,0.0,0.0
baseline,1.0,136,0.359375,0.0,0.0,0.0
baseline,1.0,137,0.40625,0.0,0.0,0.0
baseline,1.0,139,0.421875,0.0,0.0,0.0
baseline,1.0,140,0.3046875,0.0,0.0,0.0
baseline,1.0,138,0.421875,0.0,0.0,0.0
baseline,1.0,141,0.359375,0.0078125,0.0,0.0
baseline,1.0,143,0.4296875,0.0,0.0,0.0
baseline,1.0,142,0.3515625,0.0,0.0,0.0
baseline,1.0,144,0.4765625,0.0,0.0,0.0
baseline,1.0,146,0.421875,0.0078125,0.0,0.0
baseline,1.0,145,0.3359375,0.0,0.0,0.0
baseline,1.0,148,0.3984375,0.0,0.0,0.0
baseline,1.0,149,0.3828125,0.0,0.0,0.0
baseline,1.0,147,0.3125,0.0,0.0,0.0
baseline,1.0,150,0.390625,0.0,0.0,0.0
baseline,1.0,151,0.4453125,0.0,0.0,0.0
baseline,1.0,152,0.3046875,0.0078125,0.0,0.0
baseline,1.0,153,0.421875,0.0,0.0,0.0
baseline,1.0,158,0.375,0.0,0.0,0.0
baseline,1.0,155,0.453125,0.0,0.0,0.0
baseline,1.0,154,0.359375,0.0078125,0.0,0.0
baseline,1.0,156,0.296875,0.0,0.0,0.0
baseline,1.0,157,0.3671875,0.0,0.0,0.0
baseline,1.0,159,0.4296875,0.0,0.0,0.0
baseline,1.0,160,0.484375,0.0,0.0,0.0
