variant,gain,config,sweep_dir,seed,speed_ratio,w_align,safe_frac,chi,chi_local,soc_pred_entropy_var,soc_entropy_fluct_mean
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,79,1.3,0.15,0.40625,4.387775540152526,3.553479441303217,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,80,1.3,0.15,0.328125,2.0691755786784762,3.9859409248637943,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,81,1.3,0.15,0.359375,2.747606265721011,1.8564041265225706,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,82,1.3,0.15,0.328125,0.9584730502350495,3.0597086348277136,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,83,1.3,0.15,0.3515625,1.3598940454459802,5.082787542631329,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,86,1.3,0.15,0.265625,4.860284897276909,0.05107283041521749,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,84,1.3,0.15,0.3046875,3.400869688702353,0.8455116818330585,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,87,1.3,0.15,0.3125,1.6845832154439202,3.6416921761860452,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,85,1.3,0.15,0.234375,1.8498176848683872,0.033628340420395475,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,88,1.3,0.15,0.3515625,1.2254861911774713,0.21831326579874397,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,89,1.3,0.15,0.234375,0.4622096834862028,0.053271642880459935,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,91,1.3,0.15,0.3203125,1.0738072686128328,3.913614963879572,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,90,1.3,0.15,0.3671875,4.7264807654856025,1.3792717605971203,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,92,1.3,0.15,0.3359375,2.0749827089676462,0.9536994983169229,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,93,1.3,0.15,0.3046875,3.9433807752943864,0.002719299003965491,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,94,1.3,0.15,0.3359375,1.6220005721580817,1.568978142101258,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,95,1.3,0.15,0.359375,0.5958777462424208,2.0947403254479067,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,96,1.3,0.15,0.390625,0.46066935261249436,0.5730056204348611,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,97,1.3,0.15,0.3828125,1.9628464860795733,0.1552309043892349,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,98,1.3,0.15,0.34375,1.3374703770168945,0.530886377605628,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,99,1.3,0.15,0.28125,1.8969707424811357,2.5902832113885843,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,100,1.3,0.15,0.3203125,1.2485328975784167,1.8027698947011748,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,101,1.3,0.15,0.34375,3.2559583949839275,0.06379826844882767,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,102,1.3,0.15,0.21875,0.5944036893358994,1.6760357279656282,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,103,1.3,0.15,0.359375,1.0856639652096813,0.27836758632705344,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,104,1.3,0.15,0.3828125,1.0614251063861966,7.279472700717069,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,105,1.3,0.15,0.3046875,4.705412555861663,0.24064181633586537,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,107,1.3,0.15,0.3671875,1.377580915385457,4.736287026815601,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,108,1.3,0.15,0.4296875,2.2752210583658035,0.9578820619598647,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,106,1.3,0.15,0.3359375,0.2604490552503092,1.664009691311648,0.0,0.0
